0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:21 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:21 -0300] "GET /Biblioteca/resources/admin/main/content.jsp HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:21 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminPeloUsuario/magalha HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:21 -0300] "GET /Biblioteca/resources/admin/main/js/main.js HTTP/1.1" 200 9435
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:22 -0300] "GET /Biblioteca/resources/admin/perfil/ HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:22 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarUsuarioLogado/ HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:22 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarUsuarioLogado/ HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:22 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminPeloUsuario/magalha HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:22 -0300] "GET /Biblioteca/resources/admin/perfil/ HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:22 -0300] "GET /Biblioteca/resources/admin/autor/content.jsp HTTP/1.1" 200 15233
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:22 -0300] "GET /Biblioteca/resources/admin/autor/js/autor.js HTTP/1.1" 200 54105
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:22 -0300] "GET /Biblioteca/resources/admin/autor/js/jquery.maskMoney.js HTTP/1.1" 200 25597
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:22 -0300] "GET /Biblioteca/resources/admin/autor/js/jquery.mask.js HTTP/1.1" 200 23780
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:22 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarServicosPorNome/null HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:22 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarServicosPorNome/null HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [21/Apr/2022:22:43:24 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarUsuarioLogado/ HTTP/1.1" 200 87
