0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:23 -0300] "GET /Biblioteca/phantom/light/img/banner.jpg HTTP/1.1" 200 74235
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:23 -0300] "GET /Biblioteca/phantom/light/fonts/themefisher-font.ttf?ug5hnh HTTP/1.1" 200 194244
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:23 -0300] "GET /Biblioteca/resources/admin/favicon.ico HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:24 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarUsuarioLogado/ HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:24 -0300] "GET /Biblioteca/resources/admin/autor/content.jsp HTTP/1.1" 200 18472
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:24 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminPeloUsuario/magalha HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:24 -0300] "GET /Biblioteca/resources/admin/autor/js/autor.js HTTP/1.1" 200 57470
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:24 -0300] "GET /Biblioteca/resources/admin/imprimir/imprimir.js HTTP/1.1" 200 2747
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:24 -0300] "GET /Biblioteca/resources/admin/autor/js/jquery.maskMoney.js HTTP/1.1" 200 25597
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:24 -0300] "GET /Biblioteca/resources/admin/autor/js/jquery.mask.js HTTP/1.1" 200 23780
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:25 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarServicosPorNome/null HTTP/1.1" 200 12569
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:25 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarServicosPorNome/null HTTP/1.1" 200 12569
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:27 -0300] "GET /Biblioteca/phantom/light/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:27 -0300] "GET /Biblioteca/phantom/light/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [02/May/2022:01:32:27 -0300] "GET /Biblioteca/phantom/light/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/resources/admin/index.jsp HTTP/1.1" 200 13046
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/css/themefisher-fonts.min.css HTTP/1.1" 200 46637
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/css/owl.carousel.min.css HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/css/main.css HTTP/1.1" 200 35790
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/css/dark.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/css/colors/red.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/resources/css/jquery-ui.css HTTP/1.1" 200 38638
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/resources/admin/navbar/css/navbar.css HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/resources/admin/index.css HTTP/1.1" 200 49698
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/resources/admin/cruds.css HTTP/1.1" 200 8619
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/js/vendor/jquery-2.2.4.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/js/vendor/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/js/isotope.pkgd.min.js HTTP/1.1" 200 34706
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/js/jquery.nicescroll.min.js HTTP/1.1" 200 61259
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/js/main.js HTTP/1.1" 200 4655
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/js/form.min.js HTTP/1.1" 200 14120
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/js/owl.carousel.min.js HTTP/1.1" 200 40402
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/js/jquery-validation.min.js HTTP/1.1" 200 21073
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/resources/admin/canvasjs.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/resources/js/jquery-3.3.1.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/resources/admin/relatorio/Chart.js HTTP/1.1" 200 444219
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/resources/admin/index.js HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/resources/js/ajax.js HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/resources/js/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/resources/admin/button.css.map HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/css/bootstrap.min.css.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/img/banner.jpg HTTP/1.1" 200 74235
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:01 -0300] "GET /Biblioteca/phantom/light/fonts/themefisher-font.ttf?ug5hnh HTTP/1.1" 200 194244
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:02 -0300] "GET /Biblioteca/rest/bibliotecaRest/buscarUsuarioLogado/ HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:02 -0300] "GET /Biblioteca/resources/admin/autor/content.jsp HTTP/1.1" 200 18472
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:02 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarAdminPeloUsuario/magalha HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:02 -0300] "GET /Biblioteca/resources/admin/autor/js/autor.js HTTP/1.1" 200 57470
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:02 -0300] "GET /Biblioteca/resources/admin/imprimir/imprimir.js HTTP/1.1" 200 2747
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:02 -0300] "GET /Biblioteca/resources/admin/autor/js/jquery.maskMoney.js HTTP/1.1" 200 25597
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:02 -0300] "GET /Biblioteca/resources/admin/autor/js/jquery.mask.js HTTP/1.1" 200 23780
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:02 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarServicosPorNome/null HTTP/1.1" 200 12569
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:02 -0300] "POST /Biblioteca/rest/bibliotecaRest/buscarServicosPorNome/null HTTP/1.1" 200 12569
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:16 -0300] "GET /Biblioteca/resources/admin/index.jsp HTTP/1.1" 200 13046
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:16 -0300] "GET /Biblioteca/phantom/light/css/themefisher-fonts.min.css HTTP/1.1" 200 46637
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:16 -0300] "GET /Biblioteca/phantom/light/css/owl.carousel.min.css HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:16 -0300] "GET /Biblioteca/phantom/light/css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:16 -0300] "GET /Biblioteca/phantom/light/css/dark.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:16 -0300] "GET /Biblioteca/phantom/light/css/main.css HTTP/1.1" 200 35790
0:0:0:0:0:0:0:1 - - [02/May/2022:01:33:16 -0300] "GET /Biblioteca/phantom/light/css/colors/red.css HTTP/1.1" 200 1051
